op,pass,rows,vec_busy_sum,total_cycles_sum,pmu_csv
rmsnorm,PASS,16,471173,729191,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/rmsnorm.pmu.csv
qkv_proj_rope,PASS,154,3433762,58334181,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/qkv_proj_rope.pmu.csv
mtp_projection,PASS,945,5502419,107025339,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/mtp_projection.pmu.csv
gate,PASS,59,51333,1432828,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/gate.pmu.csv
expert_shared,PASS,57,36650,1927789,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/expert_shared.pmu.csv
expert_routed,PASS,693,1743072,68720009,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/expert_routed.pmu.csv
hc_pre,PASS,193,1026908,2555553,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/hc_pre.pmu.csv
hc_post,PASS,8,62521,162571,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/hc_post.pmu.csv
hc_head,PASS,13,33926,184343,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/hc_head.pmu.csv
decode_attention_swa,PASS,630,678526,16668330,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_attention_swa.pmu.csv
decode_attention_csa,PASS,767,1832676,24860872,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_attention_csa.pmu.csv
decode_attention_hca,PASS,659,948846,19039515,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_attention_hca.pmu.csv
decode_sparse_attn,PASS,659,948846,19039515,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_sparse_attn.pmu.csv
decode_sparse_attn_swa,PASS,659,948846,19039515,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_sparse_attn_swa.pmu.csv
decode_sparse_attn_hca,PASS,659,948846,19039515,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_sparse_attn_hca.pmu.csv
decode_compressor_ratio4,PASS,18,18564,781979,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_compressor_ratio4.pmu.csv
decode_compressor_ratio128,PASS,10,57509,452514,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_compressor_ratio128.pmu.csv
decode_indexer,PASS,116,377340,5157150,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_indexer.pmu.csv
decode_indexer_compressor,PASS,12,20072,341138,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/decode_indexer_compressor.pmu.csv
prefill_attention_swa,PASS,1425,14752015,146682011,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_attention_swa.pmu.csv
prefill_attention_csa,PASS,2650,18914799,207925060,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_attention_csa.pmu.csv
prefill_attention_hca,PASS,1579,15089681,149424154,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_attention_hca.pmu.csv
prefill_sparse_attn,PASS,1579,15089681,149424154,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_sparse_attn.pmu.csv
prefill_compressor_ratio4,PASS,229,859370,8481456,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_compressor_ratio4.pmu.csv
prefill_compressor_ratio128,PASS,156,340879,2247642,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_compressor_ratio128.pmu.csv
prefill_indexer,PASS,942,3208094,53361827,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_indexer.pmu.csv
prefill_indexer_compressor,PASS,653,714578,4076521,/data/liuzidi/pypto-lib/baselines/nofusion_a5_pmu2/prefill_indexer_compressor.pmu.csv
