op                           pass  rows  vec_busy_sum  total_cycles_sum
---------------------------  ----  ----  ------------  ----------------
rmsnorm                      PASS  16    471173        729191          
qkv_proj_rope                PASS  154   3433762       58334181        
mtp_projection               PASS  945   5502419       107025339       
gate                         PASS  59    51333         1432828         
expert_shared                PASS  57    36650         1927789         
expert_routed                PASS  693   1743072       68720009        
hc_pre                       PASS  193   1026908       2555553         
hc_post                      PASS  8     62521         162571          
hc_head                      PASS  13    33926         184343          
decode_attention_swa         PASS  630   678526        16668330        
decode_attention_csa         PASS  767   1832676       24860872        
decode_attention_hca         PASS  659   948846        19039515        
decode_sparse_attn           PASS  659   948846        19039515        
decode_sparse_attn_swa       PASS  659   948846        19039515        
decode_sparse_attn_hca       PASS  659   948846        19039515        
decode_compressor_ratio4     PASS  18    18564         781979          
decode_compressor_ratio128   PASS  10    57509         452514          
decode_indexer               PASS  116   377340        5157150         
decode_indexer_compressor    PASS  12    20072         341138          
prefill_attention_swa        PASS  1425  14752015      146682011       
prefill_attention_csa        PASS  2650  18914799      207925060       
prefill_attention_hca        PASS  1579  15089681      149424154       
prefill_sparse_attn          PASS  1579  15089681      149424154       
prefill_compressor_ratio4    PASS  229   859370        8481456         
prefill_compressor_ratio128  PASS  156   340879        2247642         
prefill_indexer              PASS  942   3208094       53361827        
prefill_indexer_compressor   PASS  653   714578        4076521         

platform=a5 device=6 pmu=2 fusion=OFF
ops=27 pass=27/27 elapsed=342.5s
vec_busy col = pmu_idc_aic_vec_busy_o
