thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000018,15,0,20200,0,2142,2795,3052,13943,0,217,30,904,2
0,0,0x0000000100000018,15,0,11460,0,2142,1258,3046,9634,0,186,0,383,2
0,0,0x0000000100000015,12,0,102268,0,14688,1280,17036,98718,0,439,16,1934,2
0,0,0x000000020000002a,23,0,31509,0,4896,2586,5702,27496,0,212,14,423,2
0,0,0x000000020000001e,23,0,30732,0,4896,953,5851,27576,0,199,0,408,2
0,0,0x000000020000002f,25,0,12968,0,2448,1011,2999,10696,0,139,18,1163,2
0,0,0x000000020000000f,23,0,24960,0,4896,1854,6226,20996,0,182,0,422,2
0,0,0x000000020000000c,23,0,21852,0,4896,716,6369,18925,0,182,0,407,2
0,0,0x000000020000000b,25,0,10148,0,2448,822,3286,8440,0,121,0,1063,2
0,0,0x000000020000002f,25,0,10358,0,2448,596,2989,8893,0,120,0,1064,2
0,0,0x0000000200000023,25,0,10979,0,2448,987,3133,9121,0,120,0,1067,2
0,0,0x0000000200000005,25,0,10994,0,2448,1072,3205,9029,0,120,0,1069,2
0,0,0x0000000200000029,25,0,11075,0,2448,1549,3175,8665,0,120,0,1010,2
0,0,0x0000000200000005,25,0,9578,0,2448,595,3214,8100,0,120,0,1041,2
0,0,0x000000020000000e,25,0,10751,0,2448,1219,3249,8660,0,120,0,1036,2
0,28,0x0000000100000008,3,1,4322,488,0,1498,0,1287,429,79,12,0,2
0,28,0x000000010000001b,18,1,8385,0,0,2519,0,3303,1000,72,9,0,2
0,28,0x0000000100000016,13,1,85594,6488,0,77808,0,3021,3032,13015,44,0,2
0,28,0x000000010000001e,22,1,41688,1600,0,38869,0,1402,1223,6808,31,0,2
0,28,0x0000000200000025,24,1,5480,1787,0,1060,0,1369,865,171,18,0,2
0,28,0x0000000200000016,24,1,5801,1793,0,2069,0,1189,907,160,0,0,2
0,29,0x000000010000001b,18,1,4967,0,0,1996,0,2334,809,99,14,0,2
0,29,0x0000000100000016,13,1,85784,6426,0,78011,0,3149,3030,13052,42,0,2
0,29,0x000000010000001e,22,1,41344,1536,0,39119,0,890,1256,6783,32,0,2
0,29,0x000000020000001c,24,1,6337,1787,0,1269,0,1233,1415,174,19,0,2
0,4,0x0000000100000018,15,0,19142,0,2142,2600,2873,13721,0,217,30,773,2
0,4,0x0000000100000015,12,0,101823,0,14688,1479,16992,98550,0,432,16,1855,2
0,4,0x000000020000002a,23,0,36708,0,4896,2769,5788,32121,0,211,13,420,2
0,4,0x0000000200000000,23,0,26856,0,4896,1778,5744,23145,0,199,0,404,2
0,4,0x000000020000002f,25,0,12970,0,2448,1407,2858,10255,0,139,18,1149,2
0,4,0x000000020000000f,23,0,23135,0,4896,1315,6042,20007,0,182,0,416,2
0,4,0x000000020000000c,23,0,23257,0,4896,959,5957,20042,0,182,0,419,2
0,4,0x000000020000000b,25,0,9702,0,2448,596,3155,8236,0,121,0,1044,2
0,4,0x000000020000002c,25,0,11636,0,2448,1256,2981,9517,0,120,0,1069,2
0,4,0x0000000200000008,25,0,10689,0,2448,665,2881,9138,0,120,0,1111,2
0,4,0x0000000200000011,25,0,10281,0,2448,1283,3308,8103,0,120,0,1082,2
0,4,0x0000000200000005,25,0,10148,0,2448,816,3036,8409,0,120,0,1140,2
0,4,0x0000000200000011,25,0,10589,0,2448,1297,3101,8369,0,120,0,1128,2
0,36,0x000000010000001b,18,1,7273,0,0,2888,0,2348,984,101,14,0,2
0,36,0x0000000100000016,13,1,85496,6345,0,77969,0,3087,3005,13100,46,0,2
0,36,0x000000010000001e,22,1,41521,1600,0,39023,0,1106,1328,6848,32,0,2
0,36,0x000000020000002b,24,1,5868,1787,0,1143,0,1486,886,173,18,0,2
0,37,0x000000010000001b,18,1,20173,0,0,3195,0,10492,5529,280,14,0,2
0,37,0x0000000100000016,13,1,85671,6310,0,77869,0,3154,3175,13133,46,0,2
0,37,0x000000010000001e,22,1,41409,1538,0,39001,0,1213,1300,6799,32,0,2
0,8,0x0000000100000018,15,0,19431,0,2142,2220,3012,14224,0,217,30,575,2
0,8,0x0000000100000015,12,0,102194,0,14688,1427,17120,99015,0,446,16,1817,2
0,8,0x000000020000002a,23,0,36095,0,4896,2615,5803,31457,0,211,13,560,2
0,8,0x0000000200000000,23,0,26167,0,4896,1578,5918,22668,0,206,0,402,2
0,8,0x000000020000002f,25,0,12952,0,2448,1368,2838,10289,0,139,18,1210,2
0,8,0x000000020000000f,23,0,23433,0,4896,1194,5999,20431,0,189,0,413,2
0,8,0x000000020000000c,23,0,22233,0,4896,948,6200,19066,0,182,0,394,2
0,8,0x000000020000000b,25,0,9738,0,2448,590,3047,8280,0,121,0,1021,2
0,8,0x000000020000002c,25,0,11864,0,2448,1085,3034,9879,0,120,0,1077,2
0,8,0x0000000200000008,25,0,11239,0,2448,625,3151,9775,0,120,0,1018,2
0,8,0x0000000200000011,25,0,10857,0,2448,1140,3279,8819,0,120,0,1099,2
0,8,0x0000000200000005,25,0,10271,0,2448,671,3047,8726,0,120,0,1043,2
0,8,0x000000020000000e,25,0,10514,0,2448,1144,3123,8478,0,120,0,1076,2
0,44,0x000000010000001b,18,1,5365,0,0,1758,0,1570,937,89,13,0,2
0,44,0x000000010000001e,22,1,42255,1680,0,39787,0,1093,1268,7048,35,0,2
0,45,0x000000010000001b,18,1,6041,0,0,1640,0,2336,869,90,14,0,2
0,45,0x000000010000001e,22,1,41930,1593,0,39748,0,1028,1265,7019,37,0,2
0,12,0x0000000100000018,15,0,19101,0,2142,1998,3122,14394,0,217,30,485,2
0,12,0x0000000100000015,12,0,104815,0,14688,1807,17376,101258,0,451,16,1984,2
0,12,0x000000020000002a,23,0,32538,0,4896,2155,5861,28341,0,212,14,604,2
0,12,0x0000000200000027,23,0,29317,0,4896,748,6064,26376,0,213,0,445,2
0,12,0x0000000200000012,23,0,22461,0,4896,797,6423,19430,0,182,0,417,2
0,12,0x000000020000002f,25,0,13464,0,2448,1237,2702,11073,0,139,18,1174,2
0,12,0x000000020000000f,23,0,24362,0,4896,1016,6459,21390,0,182,0,391,2
0,12,0x000000020000000c,23,0,23116,0,4896,968,5957,20169,0,182,0,398,2
0,12,0x000000020000000b,25,0,9979,0,2448,592,2950,8525,0,121,0,1065,2
0,12,0x000000020000002c,25,0,12211,0,2448,972,2754,10347,0,120,0,1070,2
0,12,0x0000000200000008,25,0,11384,0,2448,629,2984,9875,0,120,0,1084,2
0,12,0x0000000200000011,25,0,10609,0,2448,955,3061,8797,0,120,0,1064,2
0,12,0x0000000200000005,25,0,9886,0,2448,627,3115,8379,0,120,0,1067,2
0,12,0x000000020000000e,25,0,10265,0,2448,968,3047,8437,0,120,0,1068,2
0,52,0x000000010000001b,18,1,5842,0,0,2112,0,2338,1041,86,17,0,2
0,52,0x000000010000001e,22,1,42250,1582,0,39820,0,1237,1305,7043,37,0,2
0,53,0x000000010000001b,18,1,19228,0,0,2468,0,10997,5563,277,17,0,2
0,53,0x000000010000001e,22,1,42193,1639,0,39756,0,1319,1296,7008,37,0,2
0,16,0x0000000100000018,15,0,18645,0,2142,1917,2576,13608,0,210,30,708,2
0,16,0x0000000100000015,12,0,101053,0,14688,1842,17277,97076,0,433,16,2077,2
0,16,0x000000020000002a,23,0,33764,0,4896,2129,5415,29786,0,212,14,416,2
0,16,0x0000000200000027,23,0,27552,0,4896,942,6012,24406,0,199,0,411,2
0,16,0x0000000200000012,23,0,22840,0,4896,766,6366,19805,0,182,0,444,2
0,16,0x000000020000002f,25,0,12332,0,2448,870,3063,9888,0,140,19,1226,2
0,16,0x000000020000000f,23,0,22914,0,4896,1127,6006,19964,0,182,0,395,2
0,16,0x0000000200000006,23,0,22213,0,4896,830,6296,19275,0,182,0,407,2
0,16,0x000000020000000b,25,0,10696,0,2448,796,3175,8982,0,121,0,1132,2
0,16,0x000000020000002c,25,0,11771,0,2448,848,2856,10040,0,120,0,1082,2
0,16,0x0000000200000008,25,0,11795,0,2448,568,3098,10354,0,120,0,1065,2
0,16,0x0000000200000011,25,0,9560,0,2448,806,3219,7862,0,120,0,1097,2
0,16,0x0000000200000005,25,0,9712,0,2448,600,3182,8240,0,120,0,1041,2
0,16,0x000000020000000e,25,0,10229,0,2448,641,2938,8714,0,120,0,1059,2
0,60,0x000000010000001b,18,1,5845,0,0,1889,0,2198,998,81,15,0,2
0,60,0x000000010000001e,22,1,41995,1583,0,39746,0,1028,1289,7098,35,0,2
0,61,0x000000010000001b,18,1,6751,0,0,1917,0,3173,871,81,15,0,2
0,61,0x000000010000001e,22,1,41800,1639,0,39483,0,1183,1284,7072,35,0,2
0,61,0x000000010000001e,22,1,40369,1395,0,38717,0,887,1303,6700,0,0,2
0,20,0x0000000100000018,15,0,18230,0,2142,1910,3151,13386,0,213,30,655,2
0,20,0x0000000100000015,12,0,101391,0,14688,1638,17473,97635,0,433,16,2375,2
0,20,0x000000020000002a,23,0,34932,0,4896,1944,5681,30979,0,212,14,547,2
0,20,0x000000020000001b,23,0,29472,0,4896,1946,5935,25807,0,199,0,401,2
0,20,0x0000000200000015,23,0,22789,0,4896,1482,6423,19390,0,182,0,414,2
0,20,0x000000020000002f,25,0,12288,0,2448,1031,3125,9916,0,140,19,1201,2
0,20,0x000000020000000f,23,0,24629,0,4896,2104,6083,20305,0,182,0,401,2
0,20,0x0000000200000014,25,0,11091,0,2448,1535,3137,8658,0,121,0,1083,2
0,20,0x0000000200000014,25,0,10832,0,2448,963,2977,9012,0,120,0,1031,2
0,20,0x0000000200000029,25,0,10766,0,2448,1100,3174,8800,0,120,0,1051,2
0,20,0x0000000200000014,25,0,9514,0,2448,806,3184,7850,0,120,0,1062,2
0,20,0x0000000200000005,25,0,12213,0,2448,2508,2974,8827,0,120,0,1038,2
0,20,0x0000000200000029,25,0,9869,0,2448,788,3082,8179,0,120,0,1095,2
