thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000002,0,0,38156,0,8568,3068,12604,32478,0,266,18,848,2
0,4,0x0000000100000002,0,0,38499,0,8568,3362,12234,31908,0,273,18,1367,2
0,8,0x0000000100000002,0,0,38160,0,8568,3076,11896,32254,0,265,17,1088,2
0,12,0x0000000100000002,0,0,39063,0,8568,3102,11970,33550,0,274,19,660,2
0,16,0x0000000100000002,0,0,38132,0,8568,3040,11992,32279,0,272,17,871,2
0,20,0x0000000100000002,0,0,38931,0,8568,3002,12240,33414,0,272,17,664,2
0,24,0x0000000100000002,0,0,38496,0,8568,3149,12481,32918,0,273,18,680,2
1,1,0x0000000100000002,0,0,39051,0,8568,3105,11987,33169,0,266,18,694,2
1,30,0x0000000100000004,2,1,143806,10743,0,118234,0,9256,3439,21381,80,0,2
1,5,0x0000000100000002,0,0,38579,0,8568,3118,12282,32709,0,272,17,673,2
2,32,0x0000000100000003,1,1,23482,7821,0,4236,0,6998,7039,781,29,0,2
3,3,0x0000000100000002,0,0,38643,0,8568,3087,12446,33062,0,273,18,671,2
3,7,0x0000000100000002,0,0,38362,0,8568,3098,12393,32692,0,272,17,646,2
3,11,0x0000000100000002,0,0,38253,0,8568,3082,11966,32501,0,272,17,1137,2
3,15,0x0000000100000002,0,0,38331,0,8568,3173,11974,32380,0,274,19,831,2
3,19,0x0000000100000002,0,0,38059,0,8568,3129,11850,32612,0,280,18,643,2
3,23,0x0000000100000002,0,0,38585,0,8568,3048,12606,33248,0,280,18,643,2
3,27,0x0000000100000002,0,0,37391,0,8568,3139,12738,31218,0,280,18,1383,2
