thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000009,7,0,24448,0,5180,1798,6661,20219,0,213,16,668,2
0,28,0x0000000100000008,6,1,4733,955,0,1062,0,2104,370,70,14,0,2
0,28,0x000000010000000b,9,1,128351,7128,0,115440,0,3303,699,18716,74,0,2
0,28,0x000000010000000d,11,1,6038,1860,0,3104,0,519,712,230,32,0,2
0,4,0x0000000100000007,5,0,9371,0,612,2251,706,5186,0,68,13,688,2
1,1,0x0000000100000002,0,0,29855,0,7344,2012,9929,25668,0,308,24,2907,2
1,1,0x0000000100000005,3,0,3776,0,345,1503,294,691,0,41,5,698,2
1,1,0x000000010000000e,12,0,18644,0,3472,2445,2122,10682,0,237,13,10242,2
1,30,0x000000010000000a,8,1,28248,11198,0,5122,0,8415,6574,1162,27,0,2
1,30,0x000000010000000f,13,1,2201,0,0,1024,0,189,0,83,17,0,2
1,31,0x0000000100000003,1,1,3999,485,0,1542,0,668,577,59,12,0,2
1,31,0x0000000100000004,2,1,241302,6731,0,234049,0,1068,822,40474,33,0,2
1,31,0x000000010000000f,13,1,2293,0,0,1026,0,190,0,84,18,0,2
1,5,0x0000000100000007,5,0,10998,0,612,3328,706,4977,0,68,13,655,2
1,5,0x0000000100000005,3,0,3705,0,345,1319,240,771,0,42,5,683,2
1,5,0x000000010000000e,12,0,18449,0,3472,2515,2243,11429,0,237,13,9900,2
1,38,0x0000000100000003,1,1,3475,487,0,1253,0,817,560,59,12,0,2
1,38,0x0000000100000004,2,1,241505,6553,0,234180,0,1121,852,40475,34,0,2
1,38,0x000000010000000f,13,1,1899,0,0,1020,0,182,0,85,19,0,2
1,39,0x0000000100000003,1,1,3076,485,0,1042,0,813,551,59,12,0,2
1,39,0x000000010000000f,13,1,2097,0,0,1291,0,181,0,84,18,0,2
1,9,0x0000000100000007,5,0,8375,0,612,1041,706,4976,0,68,13,703,2
1,9,0x0000000100000005,3,0,3721,0,345,1176,240,780,0,42,5,626,2
1,9,0x000000010000000e,12,0,3361,0,0,1863,0,291,0,58,10,0,2
1,46,0x0000000100000003,1,1,3644,485,0,811,0,1151,790,59,12,0,2
1,46,0x000000010000000f,13,1,2323,0,0,1412,0,152,0,83,17,0,2
1,47,0x0000000100000003,1,1,3668,485,0,782,0,1152,785,59,12,0,2
1,47,0x000000010000000f,13,1,2144,0,0,1389,0,195,0,84,18,0,2
1,13,0x0000000100000007,5,0,11049,0,612,3305,706,5308,0,68,13,725,2
1,13,0x0000000100000005,3,0,3581,0,345,979,302,981,0,42,5,626,2
1,13,0x000000010000000e,12,0,3450,0,0,1865,0,294,0,58,10,0,2
1,54,0x0000000100000003,1,1,3575,485,0,949,0,1133,647,59,12,0,2
1,54,0x000000010000000f,13,1,7394,4800,0,1676,0,1014,125,132,19,0,2
1,55,0x0000000100000003,1,1,3377,487,0,913,0,1041,570,59,12,0,2
1,55,0x000000010000000f,13,1,1529,0,0,1043,0,209,0,84,18,0,2
1,17,0x0000000100000007,5,0,10088,0,612,3135,706,4712,0,68,13,670,2
1,17,0x0000000100000005,3,0,3854,0,345,1021,240,914,0,42,5,639,2
1,17,0x000000010000000e,12,0,5506,0,217,2411,123,1344,0,72,11,620,2
1,62,0x0000000100000003,1,1,3408,485,0,1041,0,737,476,59,12,0,2
1,62,0x000000010000000f,13,1,1689,0,0,975,0,374,0,84,18,0,2
1,63,0x000000010000000f,13,1,1644,0,0,1144,0,145,0,90,22,0,2
1,21,0x0000000100000007,5,0,11208,0,612,3102,706,5831,0,68,13,623,2
1,21,0x0000000100000005,3,0,3686,0,345,1061,240,888,0,42,5,647,2
1,21,0x000000010000000e,12,0,5433,0,217,2318,123,1395,0,72,11,632,2
1,70,0x000000010000000f,13,1,7384,4800,0,1649,0,896,334,138,25,0,2
1,71,0x000000010000000f,13,1,1680,0,0,1015,0,392,0,88,22,0,2
1,25,0x0000000100000007,5,0,10191,0,612,3099,706,4891,0,68,13,634,2
1,25,0x0000000100000005,3,0,3419,0,345,1056,240,914,0,42,5,615,2
1,25,0x000000010000000e,12,0,5511,0,217,2434,123,1226,0,72,11,661,2
1,78,0x000000010000000f,13,1,2133,0,0,1303,0,192,0,88,22,0,2
1,79,0x000000010000000f,13,1,2165,0,0,1321,0,193,0,95,22,0,2
