thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
1,1,0x0000000100000002,0,0,22504,0,5180,2655,6619,16977,0,200,17,491,2
1,30,0x0000000100000004,2,1,129927,6423,0,115313,0,3747,694,18511,74,0,2
1,30,0x0000000100000006,4,1,4878,1737,0,3458,0,569,553,224,26,0,2
2,2,0x0000000100000005,3,0,4539,0,242,890,256,1812,0,52,10,802,2
2,32,0x0000000100000003,1,1,29721,11912,0,5717,0,7230,6737,1180,31,0,2
3,3,0x0000000100000002,0,0,21986,0,5180,2601,6637,15917,0,205,16,1453,2
3,7,0x0000000100000002,0,0,22228,0,5180,2599,6634,16048,0,200,17,1401,2
3,11,0x0000000100000002,0,0,22181,0,5180,2584,6564,16221,0,205,16,1140,2
3,15,0x0000000100000002,0,0,20697,0,5180,1874,6616,16036,0,200,17,1160,2
3,19,0x0000000100000002,0,0,20852,0,5180,1787,6735,17083,0,200,17,647,2
3,23,0x0000000100000002,0,0,20767,0,5180,1842,6548,16332,0,200,17,878,2
3,27,0x0000000100000002,0,0,20858,0,5180,1659,6520,16894,0,205,16,649,2
