thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000014,10,0,20341,0,4284,1985,5446,17429,0,249,20,380,2
0,0,0x0000000100000019,15,0,12091,0,2142,1363,2945,9373,0,210,25,508,2
0,0,0x0000000100000016,12,0,98417,0,14688,1538,17711,95141,0,448,18,1917,2
0,0,0x0000000100000022,24,0,14840,0,6944,888,6039,3910,0,200,22,6256,2
0,0,0x000000020000002a,28,0,31731,0,4896,2020,5742,27435,0,206,11,578,2
0,0,0x0000000200000015,28,0,35708,0,4896,3702,5803,31784,0,195,0,394,2
0,0,0x0000000200000000,28,0,23147,0,4896,1035,5898,19909,0,181,0,416,2
0,0,0x0000000200000006,28,0,25168,0,4896,1306,6145,21666,0,181,0,405,2
0,0,0x0000000200000029,30,0,14578,0,2448,1155,2929,11000,0,130,17,1299,2
0,0,0x0000000200000002,30,0,14608,0,2448,888,2845,11456,0,113,0,1071,2
0,0,0x0000000200000023,30,0,14146,0,2448,888,2769,11013,0,113,0,1052,2
0,0,0x0000000200000005,30,0,14453,0,2448,1234,2804,10956,0,113,0,1039,2
0,0,0x000000020000001a,30,0,15114,0,2448,1860,2832,11010,0,113,0,1059,2
0,0,0x0000000200000020,30,0,14162,0,2448,846,2965,11089,0,113,0,1014,2
0,28,0x0000000100000023,26,1,29065,3303,0,21105,0,765,922,3305,59,0,2
0,28,0x0000000100000021,23,1,37205,0,0,4587,0,21671,11987,536,12,0,2
0,28,0x0000000100000022,25,1,13001,7714,0,1271,0,469,2716,308,14,0,2
0,28,0x0000000100000024,27,1,51810,3363,0,39766,0,2018,8633,6998,45,0,2
0,28,0x000000020000002e,29,1,5164,1781,0,1012,0,1553,852,170,21,0,2
0,28,0x0000000200000010,29,1,5142,1802,0,945,0,1631,918,156,0,0,2
0,29,0x0000000100000023,26,1,28997,3283,0,21325,0,851,949,3328,59,0,2
0,29,0x0000000100000021,23,1,36935,0,0,4512,0,21449,11695,536,12,0,2
0,29,0x0000000100000024,27,1,52202,3343,0,40076,0,1692,8733,6976,45,0,2
0,29,0x000000020000002b,29,1,5860,1796,0,1420,0,1775,913,167,21,0,2
0,4,0x0000000100000014,10,0,20016,0,4284,1367,5571,17275,0,249,20,621,2
0,4,0x0000000100000019,15,0,13075,0,2142,1697,2981,9536,0,211,26,476,2
0,4,0x0000000100000016,12,0,95143,0,14688,1424,17716,91871,0,463,18,2043,2
0,4,0x0000000100000016,12,0,41982,0,14688,963,19995,39633,0,393,0,1837,2
0,4,0x0000000100000022,24,0,14374,0,6944,688,6050,3453,0,202,24,6402,2
0,4,0x000000020000002a,28,0,31412,0,4896,1776,6219,26976,0,206,11,592,2
0,4,0x0000000200000015,28,0,34830,0,4896,3191,5461,31458,0,195,0,411,2
0,4,0x0000000200000000,28,0,23374,0,4896,713,6058,20442,0,181,0,409,2
0,4,0x0000000200000006,28,0,23757,0,4896,852,6138,20753,0,181,0,406,2
0,4,0x0000000200000029,30,0,14298,0,2448,749,2941,11169,0,131,18,1338,2
0,4,0x0000000200000002,30,0,14493,0,2448,599,2734,11615,0,113,0,1106,2
0,4,0x0000000200000023,30,0,14577,0,2448,568,2736,11694,0,113,0,1166,2
0,4,0x0000000200000005,30,0,14552,0,2448,777,2782,11524,0,113,0,1054,2
0,4,0x000000020000001a,30,0,13497,0,2448,562,2896,10676,0,113,0,1063,2
0,4,0x000000020000000b,30,0,14401,0,2448,1002,2912,11111,0,113,0,1135,2
0,36,0x0000000100000021,23,1,16873,1376,0,3073,0,1695,11174,574,16,0,2
0,36,0x0000000100000022,25,1,12708,7692,0,1845,0,727,2818,311,14,0,2
0,36,0x0000000100000024,27,1,52244,3485,0,40087,0,2422,8673,7024,46,0,2
0,36,0x0000000200000025,29,1,5072,1792,0,1055,0,1325,911,170,21,0,2
0,37,0x0000000100000021,23,1,30712,1376,0,3549,0,10157,16170,705,16,0,2
0,37,0x0000000100000024,27,1,53179,3312,0,40522,0,2110,8831,6997,46,0,2
0,8,0x0000000100000014,10,0,20525,0,4284,1448,5617,17933,0,249,20,376,2
0,8,0x0000000100000019,15,0,13368,0,2142,1892,3125,9472,0,212,27,777,2
0,8,0x0000000100000016,12,0,98520,0,14688,1235,17067,95392,0,440,16,2057,2
0,8,0x000000020000002a,28,0,32051,0,4896,1822,5671,27479,0,210,11,566,2
0,8,0x0000000200000015,28,0,34570,0,4896,2976,5698,31314,0,195,0,423,2
