thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000300000015,1,0,222643,0,34272,2583,40654,218273,0,859,19,2359,2
0,0,0x0000000300000035,1,0,220940,0,34272,2813,40475,217522,0,816,0,2324,2
0,0,0x000000030000001b,1,0,221500,0,34272,2783,41506,218171,0,810,0,2230,2
0,0,0x0000000300000068,4,0,119278,0,14688,2411,16773,108199,0,392,18,2164,2
0,0,0x000000030000003f,1,0,221095,0,34272,2644,40807,217881,0,805,0,2483,2
0,0,0x0000000300000030,0,0,223761,0,34272,1752,39917,221195,0,843,15,2316,2
0,0,0x0000000300000025,1,0,217688,0,34272,1955,41680,215154,0,804,0,2319,2
0,0,0x000000030000002b,1,0,203356,0,34272,2026,41158,201153,0,804,0,2317,2
0,0,0x00000003000000d1,4,0,85790,0,14688,1944,17068,75608,0,367,0,2225,2
0,0,0x00000003000000b3,4,0,99599,0,14688,2172,16854,89216,0,374,0,2215,2
0,0,0x000000030000009a,4,0,97465,0,14688,868,16547,88367,0,367,0,2396,2
0,0,0x0000000300000095,4,0,108198,0,14688,1543,16754,98424,0,353,0,2434,2
0,0,0x0000000300000072,4,0,97680,0,14688,1034,16778,88458,0,353,0,2212,2
0,0,0x0000000300000081,4,0,105872,0,14688,2724,16380,94897,0,353,0,2137,2
0,28,0x0000000300000099,3,1,20048,10450,0,3439,0,9337,1892,508,25,0,2
0,28,0x000000030000006c,3,1,16977,10244,0,2659,0,8875,1919,399,0,0,2
0,28,0x00000003000000d0,3,1,16182,10309,0,3080,0,9035,2345,376,0,0,2
0,28,0x0000000300000048,2,1,11375,4365,0,1808,0,6236,1666,232,16,0,2
0,28,0x00000003000000de,2,1,10625,4368,0,2354,0,6544,1597,217,0,0,2
0,28,0x00000003000000e4,3,1,15921,10218,0,1827,0,8123,2542,365,0,0,2
0,28,0x00000003000000ca,2,1,10363,4484,0,2407,0,5419,1509,203,0,0,2
0,28,0x0000000300000080,3,1,15618,10257,0,1674,0,8664,1882,365,0,0,2
0,28,0x0000000300000069,5,1,32225,16084,0,3786,0,23939,6056,516,17,0,2
0,28,0x00000003000000aa,5,1,32760,16073,0,3149,0,24492,6043,468,0,0,2
0,28,0x000000030000004b,5,1,34798,16093,0,2924,0,27694,6290,438,0,0,2
0,28,0x000000030000005f,5,1,28954,16100,0,2445,0,24787,5897,438,0,0,2
0,28,0x0000000300000091,5,1,22053,16075,0,2478,0,14352,6107,438,0,0,2
0,29,0x0000000300000048,2,1,11512,4306,0,1822,0,5189,1465,236,20,0,2
0,29,0x00000003000000de,2,1,11315,4350,0,2920,0,5241,1520,216,0,0,2
0,29,0x00000003000000ca,2,1,9521,4350,0,2415,0,4879,1470,216,0,0,2
0,29,0x0000000300000046,5,1,25334,16068,0,2964,0,17320,5958,521,17,0,2
0,29,0x0000000300000064,5,1,31571,16093,0,2293,0,25402,6155,469,0,0,2
0,29,0x00000003000000e1,5,1,28599,16111,0,2318,0,25059,6254,439,0,0,2
0,29,0x0000000300000087,5,1,21650,16102,0,3057,0,15913,5827,438,0,0,2
0,4,0x0000000300000015,1,0,220085,0,34272,2614,40526,215946,0,871,19,2341,2
0,4,0x0000000300000021,1,0,217649,0,34272,2193,40769,214859,0,828,0,2339,2
0,4,0x000000030000000a,0,0,226895,0,34272,2539,40435,223932,0,843,15,2811,2
0,4,0x000000030000002c,0,0,209985,0,34272,2872,41036,206946,0,804,0,2322,2
0,4,0x000000030000001b,1,0,217729,0,34272,3171,41147,213975,0,810,0,2285,2
0,4,0x000000030000003f,1,0,220591,0,34272,2145,41285,217870,0,804,0,2548,2
0,4,0x0000000300000034,0,0,213294,0,34272,1937,40452,210776,0,804,0,2330,2
0,4,0x0000000300000063,4,0,103300,0,14688,1439,16527,93360,0,393,19,2205,2
0,4,0x0000000300000059,4,0,94289,0,14688,1307,16366,84764,0,367,0,2188,2
0,4,0x00000003000000b3,4,0,97595,0,14688,1627,16670,87742,0,360,0,2158,2
0,4,0x0000000300000077,4,0,100826,0,14688,1763,16689,90863,0,353,0,2321,2
0,4,0x000000030000007c,4,0,96517,0,14688,1947,16649,86373,0,353,0,2281,2
0,4,0x0000000300000090,4,0,99119,0,14688,1059,16666,89854,0,353,0,2208,2
0,4,0x00000003000000e5,4,0,97595,0,14688,2250,16977,87111,0,353,0,2366,2
0,4,0x00000003000000a4,4,0,90139,0,14688,1302,17203,80635,0,353,0,2240,2
0,36,0x0000000300000048,2,1,10552,4369,0,1457,0,6104,1500,236,20,0,2
0,36,0x00000003000000de,2,1,11237,4306,0,2352,0,5859,1660,211,0,0,2
0,36,0x00000003000000ca,2,1,10074,4328,0,2524,0,4588,1505,211,0,0,2
0,36,0x00000003000000af,5,1,21439,16075,0,2414,0,13753,5725,510,17,0,2
0,37,0x0000000300000048,2,1,10024,4362,0,1536,0,6219,1702,236,20,0,2
0,37,0x00000003000000de,2,1,11784,4318,0,2765,0,6558,1495,211,0,0,2
0,37,0x00000003000000ca,2,1,9102,4380,0,1691,0,4368,1651,211,0,0,2
0,8,0x0000000300000015,1,0,223889,0,34272,2586,40240,219969,0,877,19,2663,2
0,8,0x0000000300000021,1,0,214103,0,34272,2394,41133,211133,0,822,0,2256,2
0,8,0x000000030000003d,1,0,208884,0,34272,1703,41605,206605,0,810,0,2546,2
0,8,0x0000000300000023,1,0,203566,0,34272,2075,40983,200900,0,804,0,2340,2
0,8,0x0000000300000014,0,0,222755,0,34272,3742,41068,216852,0,844,16,2331,2
0,8,0x0000000300000063,4,0,119724,0,14688,2658,16304,108600,0,392,18,2190,2
0,8,0x0000000300000005,1,0,221006,0,34272,2719,41304,217741,0,816,0,2314,2
0,8,0x000000030000001e,0,0,204492,0,34272,2629,41298,201250,0,804,0,2254,2
0,8,0x0000000300000063,4,0,82375,0,14688,1990,17025,72358,0,374,0,2248,2
0,8,0x00000003000000b3,4,0,103498,0,14688,2271,16713,93004,0,360,0,2296,2
0,8,0x000000030000009a,4,0,104003,0,14688,1235,16805,94559,0,360,0,2376,2
0,8,0x0000000300000095,4,0,102900,0,14688,1761,16773,92924,0,353,0,2188,2
0,8,0x0000000300000054,4,0,104941,0,14688,1167,16777,95567,0,353,0,2242,2
0,8,0x0000000300000090,4,0,96523,0,14688,1438,16528,86858,0,353,0,2300,2
0,8,0x0000000300000081,4,0,89487,0,14688,818,16418,80473,0,353,0,2090,2
0,44,0x0000000300000048,2,1,10492,4318,0,1706,0,5492,1635,236,20,0,2
0,44,0x00000003000000de,2,1,11116,4340,0,1973,0,5614,1590,216,0,0,2
0,44,0x00000003000000ca,2,1,10004,4296,0,2195,0,4871,1631,216,0,0,2
0,45,0x0000000300000048,2,1,10638,4318,0,1744,0,6021,1494,238,20,0,2
0,45,0x00000003000000de,2,1,11350,4296,0,2322,0,6328,1521,216,0,0,2
