thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000200000002,1,0,48430,0,8568,4288,10066,42891,0,705,18,758,2
0,0,0x0000000200000004,3,0,23891,0,3672,1311,4493,20980,0,136,19,529,2
0,4,0x0000000200000002,1,0,48064,0,8568,4673,10230,42705,0,772,18,695,2
0,4,0x0000000200000004,3,0,25932,0,3672,1770,4384,22561,0,136,19,526,2
0,8,0x0000000200000002,1,0,48246,0,8568,4712,10503,42929,0,793,18,730,2
0,8,0x0000000200000004,3,0,25612,0,3672,1757,4484,22314,0,136,19,498,2
0,12,0x0000000200000002,1,0,47662,0,8568,4252,10392,42225,0,701,18,798,2
0,12,0x0000000200000004,3,0,22602,0,3672,977,4418,20012,0,135,18,524,2
0,16,0x0000000200000002,1,0,49116,0,8568,6814,10158,42449,0,1170,19,763,2
0,16,0x0000000200000004,3,0,23556,0,3672,1283,4354,20698,0,135,18,508,2
0,20,0x0000000200000002,1,0,49078,0,8568,6909,10215,42375,0,1170,19,751,2
0,20,0x0000000200000004,3,0,24787,0,3672,1864,4586,21377,0,135,18,508,2
0,24,0x0000000200000002,1,0,49359,0,8568,6712,10253,42910,0,1134,19,724,2
0,24,0x0000000200000004,3,0,24080,0,3672,817,4392,21696,0,135,18,496,2
1,1,0x0000000200000002,1,0,45569,0,8568,3117,10656,41467,0,636,17,799,2
1,1,0x0000000200000004,3,0,21646,0,3672,1390,4557,18031,0,134,17,504,2
1,30,0x0000000200000005,4,1,20472,16049,0,4371,0,13111,5096,865,21,0,2
1,5,0x0000000200000002,1,0,45832,0,8568,3480,10867,41660,0,706,17,741,2
1,5,0x0000000200000004,3,0,21565,0,3672,1312,4401,18115,0,135,18,507,2
1,9,0x0000000200000002,1,0,46418,0,8568,3291,10194,42338,0,688,17,761,2
1,9,0x0000000200000004,3,0,20165,0,3672,1305,4504,16865,0,134,17,496,2
1,13,0x0000000200000002,1,0,47524,0,8568,4448,10499,42619,0,825,18,737,2
1,13,0x0000000200000004,3,0,16293,0,3672,1263,4785,13749,0,136,19,496,2
1,17,0x0000000200000002,1,0,47134,0,8568,6075,10403,41535,0,1196,17,773,2
1,17,0x0000000200000004,3,0,20209,0,3672,1127,4439,16815,0,134,17,504,2
1,21,0x0000000200000004,3,0,24536,0,3672,6418,4680,18245,0,1091,22,502,2
1,25,0x0000000200000004,3,0,24987,0,3672,6065,4384,19038,0,1004,22,523,2
2,2,0x0000000200000001,0,0,50691,0,8568,4660,10177,43940,0,720,17,742,2
2,2,0x0000000200000004,3,0,22892,0,3672,1183,4332,18974,0,136,17,501,2
2,32,0x0000000200000003,2,1,14679,5222,0,5338,0,4135,3162,928,24,0,2
2,33,0x0000000200000003,2,1,14633,4874,0,5397,0,4047,3415,924,24,0,2
2,6,0x0000000200000001,0,0,50998,0,8568,4836,10214,44188,0,768,17,738,2
2,6,0x0000000200000004,3,0,24091,0,3672,1170,4373,20269,0,136,17,503,2
2,40,0x0000000200000003,2,1,14206,5383,0,5202,0,4337,3357,967,24,0,2
2,41,0x0000000200000003,2,1,13579,5122,0,5445,0,4011,2680,967,24,0,2
2,10,0x0000000200000001,0,0,51279,0,8568,4988,10518,44420,0,797,17,706,2
2,10,0x0000000200000004,3,0,23769,0,3672,1023,4645,20152,0,137,18,514,2
2,14,0x0000000200000001,0,0,50863,0,8568,7376,10476,41908,0,1196,17,1577,2
2,14,0x0000000200000004,3,0,23594,0,3672,889,4417,20279,0,136,17,496,2
2,18,0x0000000200000001,0,0,50952,0,8568,7191,10336,43004,0,1167,17,795,2
2,18,0x0000000200000004,3,0,23922,0,3672,899,4454,20717,0,136,17,488,2
2,22,0x0000000200000004,3,0,27841,0,3672,6030,4316,22121,0,1011,21,519,2
2,26,0x0000000200000004,3,0,26415,0,3672,5995,4209,20605,0,1007,21,501,2
3,3,0x0000000200000001,0,0,50078,0,8568,4574,9904,43408,0,656,17,1288,2
3,3,0x0000000200000004,3,0,25582,0,3672,1017,4515,22505,0,134,17,476,2
3,7,0x0000000200000001,0,0,50891,0,8568,4326,10007,44264,0,668,17,778,2
3,7,0x0000000200000004,3,0,26505,0,3672,985,4458,23662,0,134,17,512,2
3,11,0x0000000200000001,0,0,50137,0,8568,4517,10282,43168,0,708,17,1027,2
3,11,0x0000000200000004,3,0,25419,0,3672,1153,4486,22698,0,135,18,507,2
3,15,0x0000000200000001,0,0,51197,0,8568,7639,10507,42989,0,1243,17,772,2
3,15,0x0000000200000004,3,0,25217,0,3672,1352,4436,21892,0,134,17,518,2
3,19,0x0000000200000001,0,0,50650,0,8568,7189,10312,42629,0,1166,17,1018,2
3,19,0x0000000200000004,3,0,26118,0,3672,1645,4488,22684,0,135,18,497,2
3,23,0x0000000200000001,0,0,51157,0,8568,7504,9897,42326,0,1200,17,1179,2
3,23,0x0000000200000004,3,0,23107,0,3672,973,4344,20593,0,135,18,500,2
3,27,0x0000000200000001,0,0,51456,0,8568,7437,10362,43074,0,1168,17,750,2
3,27,0x0000000200000004,3,0,23106,0,3672,955,4372,20585,0,135,18,512,2
