thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000003,3,0,26849,0,22750,1303,4710,18470,0,126,17,53,2
0,28,0x0000000100000003,4,1,28438,505,0,1286,0,701,1262,80,13,0,2
0,4,0x0000000100000003,3,0,27514,0,22750,1533,4613,18503,0,126,17,53,2
0,36,0x0000000100000003,4,1,28542,498,0,1459,0,571,991,73,12,0,2
0,8,0x0000000100000003,3,0,26577,0,22750,1054,4416,17567,0,126,17,53,2
0,44,0x0000000100000003,4,1,28328,501,0,1235,0,683,1378,73,12,0,2
0,12,0x0000000100000003,3,0,26295,0,22750,784,4578,18010,0,126,17,53,2
0,52,0x0000000100000003,4,1,28140,505,0,1153,0,568,1528,73,12,0,2
0,16,0x0000000100000003,3,0,27088,0,22750,1204,4561,18326,0,126,17,53,2
0,60,0x0000000100000003,4,1,28243,502,0,1339,0,574,852,73,12,0,2
0,20,0x0000000100000003,3,0,26590,0,22750,1106,4535,18458,0,126,17,53,2
0,68,0x0000000100000003,4,1,27514,502,0,1247,0,468,722,73,12,0,2
0,24,0x0000000100000003,3,0,26018,0,22750,913,4401,17378,0,126,17,53,2
0,76,0x0000000100000003,4,1,26951,511,0,1090,0,717,501,73,12,0,2
1,30,0x0000000200000000,1,1,21847,11725,0,3875,0,12875,9966,1316,25,0,2
1,5,0x0000000100000003,3,0,26194,0,22750,1069,4545,17640,0,126,17,53,2
1,38,0x0000000100000003,4,1,26999,512,0,730,0,682,695,73,12,0,2
1,9,0x0000000100000003,3,0,26068,0,22750,992,4516,17190,0,126,17,53,2
1,46,0x0000000100000003,4,1,26760,505,0,817,0,485,345,73,12,0,2
1,13,0x0000000100000003,3,0,26092,0,22750,704,4678,18169,0,126,17,53,2
1,54,0x0000000100000003,4,1,27581,505,0,746,0,800,1154,73,12,0,2
1,17,0x0000000100000003,3,0,26514,0,22750,1037,4483,18169,0,126,17,53,2
1,62,0x0000000100000003,4,1,27898,498,0,930,0,731,1072,75,12,0,2
1,21,0x0000000100000003,3,0,26443,0,22750,885,4520,18007,0,126,17,53,2
1,70,0x0000000100000003,4,1,27644,511,0,963,0,621,693,75,12,0,2
1,25,0x0000000100000003,3,0,26173,0,22750,949,4456,17714,0,126,17,53,2
1,78,0x0000000100000003,4,1,27413,498,0,1278,0,305,771,82,13,0,2
2,2,0x0000000100000003,3,0,26430,0,22750,1023,4460,17937,0,126,17,53,2
2,32,0x0000000100000003,4,1,27677,511,0,1031,0,743,937,75,12,0,2
2,6,0x0000000100000003,3,0,26472,0,22750,1070,4435,17964,0,126,17,53,2
2,40,0x0000000100000003,4,1,27276,511,0,1172,0,473,737,73,12,0,2
2,10,0x0000000100000003,3,0,26060,0,22750,869,4498,17681,0,126,17,53,2
2,48,0x0000000100000003,4,1,27065,498,0,842,0,432,684,73,12,0,2
2,14,0x0000000100000003,3,0,26295,0,22750,915,4589,17817,0,126,17,53,2
2,56,0x0000000100000003,4,1,27885,501,0,952,0,887,1257,73,12,0,2
2,18,0x0000000100000003,3,0,26244,0,22750,1193,4466,18181,0,126,17,53,2
2,64,0x0000000100000003,4,1,27596,498,0,816,0,581,1168,73,12,0,2
2,22,0x0000000100000003,3,0,26249,0,22750,832,4589,18255,0,126,17,53,2
2,72,0x0000000100000003,4,1,27803,498,0,1084,0,769,1230,73,12,0,2
2,26,0x0000000100000003,3,0,26639,0,22750,932,4439,17755,0,126,17,53,2
2,80,0x0000000100000003,4,1,27506,505,0,805,0,595,586,73,12,0,2
3,3,0x0000000100000003,3,0,26077,0,22750,1011,4598,17892,0,126,17,53,2
3,34,0x0000000100000001,0,1,7380,2147,0,1771,0,1334,2451,86,13,0,2
3,34,0x0000000100000003,4,1,28413,505,0,925,0,733,1172,69,8,0,2
3,34,0x0000000100000004,5,1,44020,9800,0,31639,0,6311,0,13016,25,0,2
3,35,0x0000000100000001,0,1,7519,2144,0,1805,0,1015,2503,87,13,0,2
3,7,0x0000000100000003,3,0,26310,0,22750,1142,4509,17612,0,126,17,53,2
3,42,0x0000000100000001,0,1,8257,2138,0,1698,0,1319,3276,86,13,0,2
3,42,0x0000000100000003,4,1,27991,498,0,1159,0,307,572,69,8,0,2
3,43,0x0000000100000001,0,1,8405,2116,0,1741,0,1244,3408,85,12,0,2
3,11,0x0000000100000003,3,0,25878,0,22750,823,4504,17859,0,126,17,53,2
3,50,0x0000000100000001,0,1,7997,2116,0,1748,0,1247,2977,86,13,0,2
3,50,0x0000000100000003,4,1,28456,505,0,892,0,693,1323,69,8,0,2
3,51,0x0000000100000001,0,1,8184,2138,0,1728,0,1197,3148,86,13,0,2
3,15,0x0000000100000003,3,0,26106,0,22750,1122,4565,17539,0,126,17,53,2
3,58,0x0000000100000001,0,1,7719,2141,0,1644,0,1262,2530,86,13,0,2
3,58,0x0000000100000003,4,1,28404,512,0,938,0,562,1288,69,8,0,2
3,59,0x0000000100000001,0,1,7560,2141,0,1676,0,1231,2396,86,13,0,2
3,66,0x0000000100000002,2,1,4242,632,0,1454,0,0,1446,41,9,0,2
