thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000003,2,0,15274,0,11998,1533,2235,9056,0,175,27,587,2
0,4,0x0000000100000003,2,0,15526,0,11998,1726,2264,9032,0,175,27,582,2
0,8,0x0000000100000003,2,0,14961,0,11998,1414,2298,9148,0,174,26,601,2
0,12,0x0000000100000003,2,0,15254,0,11998,1496,2236,9110,0,173,25,591,2
0,16,0x0000000100000003,2,0,16611,0,11998,1684,2211,9425,0,176,28,992,2
0,20,0x0000000100000003,2,0,16530,0,11998,1581,2264,9288,0,175,27,1030,2
0,24,0x0000000100000003,2,0,16446,0,11998,1599,2236,9210,0,176,28,955,2
1,1,0x0000000100000003,2,0,16332,0,11998,1781,2253,9318,0,176,28,1194,2
1,30,0x0000000200000000,4,1,18114,12521,0,2882,0,13431,5207,658,22,0,2
2,32,0x0000000100000004,3,1,4486,495,0,2105,0,900,612,95,19,0,2
3,34,0x0000000100000001,0,1,26579,19680,0,2321,0,22217,136,309,12,0,2
3,35,0x0000000100000002,1,1,3988,647,0,1341,0,0,1040,41,9,0,2
3,42,0x0000000100000002,1,1,4242,583,0,1658,0,0,1032,41,9,0,2
