thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000004,2,0,27461,0,23996,1386,9174,21838,0,275,13,315,2
0,28,0x0000000100000002,0,1,42033,26744,0,3008,0,36113,135,551,13,0,2
0,28,0x0000000100000006,3,1,3356,803,0,1301,0,871,407,78,10,0,2
0,28,0x0000000100000008,5,1,5268,2809,0,1070,0,2849,1393,257,18,0,2
0,28,0x0000000100000008,5,1,5131,2658,0,1199,0,3665,1369,236,0,0,2
0,29,0x0000000100000002,0,1,41416,26845,0,3049,0,36256,409,551,13,0,2
0,29,0x0000000100000006,3,1,3734,1109,0,1311,0,919,340,77,9,0,2
0,29,0x0000000100000008,5,1,5287,2644,0,1059,0,2999,1347,257,18,0,2
0,29,0x0000000100000008,5,1,5476,2616,0,1466,0,3755,1384,236,0,0,2
0,4,0x0000000100000004,2,0,27404,0,23996,1574,8786,21600,0,283,14,594,2
0,36,0x0000000100000006,3,1,3105,485,0,1140,0,961,433,82,13,0,2
0,36,0x0000000100000008,5,1,5931,2846,0,1393,0,3059,1422,253,17,0,2
0,36,0x0000000100000008,5,1,4684,2618,0,1046,0,3152,1403,241,0,0,2
0,37,0x0000000100000006,3,1,3055,485,0,1097,0,876,577,81,12,0,2
0,37,0x0000000100000008,5,1,5802,2647,0,1564,0,2951,1402,254,17,0,2
0,37,0x0000000100000008,5,1,4847,2632,0,1007,0,3279,1364,241,0,0,2
0,8,0x0000000100000004,2,0,27541,0,23996,1186,9127,21776,0,275,13,777,2
0,44,0x0000000100000006,3,1,2880,485,0,890,0,892,557,83,14,0,2
0,44,0x0000000100000008,5,1,5372,2772,0,1369,0,2809,1358,260,17,0,2
0,44,0x0000000100000008,5,1,4693,2612,0,1085,0,3049,1363,250,0,0,2
0,45,0x0000000100000006,3,1,2831,485,0,1006,0,874,416,84,15,0,2
0,45,0x0000000100000008,5,1,5499,2726,0,1569,0,2888,1384,268,17,0,2
0,45,0x0000000100000008,5,1,4872,2631,0,1923,0,3201,1339,256,0,0,2
0,12,0x0000000100000004,2,0,27659,0,23996,1213,8907,21732,0,269,14,785,2
0,52,0x0000000100000006,3,1,3151,485,0,994,0,829,809,83,14,0,2
0,52,0x0000000100000008,5,1,5332,2682,0,1528,0,2901,1400,260,17,0,2
0,52,0x0000000100000008,5,1,4631,2614,0,984,0,3086,1378,260,0,0,2
0,53,0x0000000100000006,3,1,3281,487,0,1059,0,1174,716,83,14,0,2
0,53,0x0000000100000008,5,1,5190,2752,0,1406,0,2842,1387,261,17,0,2
0,53,0x0000000100000008,5,1,4885,2625,0,1714,0,3100,1373,260,0,0,2
0,16,0x0000000100000004,2,0,27795,0,23996,1459,6306,15888,0,282,13,597,2
0,60,0x0000000100000006,3,1,3931,845,0,1223,0,839,748,83,14,0,2
0,60,0x0000000100000008,5,1,5970,2625,0,1331,0,3612,1387,254,17,0,2
0,60,0x0000000100000008,5,1,4106,2612,0,1876,0,2311,1374,241,0,0,2
0,61,0x0000000100000006,3,1,4055,857,0,1321,0,1198,627,84,14,0,2
0,61,0x0000000100000008,5,1,5877,2614,0,1150,0,3741,1386,255,17,0,2
0,61,0x0000000100000008,5,1,4539,2636,0,1609,0,2428,1348,241,0,0,2
0,20,0x0000000100000004,2,0,27724,0,23996,1488,6306,15496,0,275,13,602,2
0,68,0x0000000100000006,3,1,3273,737,0,1076,0,839,583,83,14,0,2
