thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000008,2,0,27576,0,23996,1266,9215,21734,0,285,16,345,2
0,0,0x0000000100000015,10,0,94690,0,34272,3044,55253,92110,0,1262,15,5307,2
0,0,0x0000000100000015,10,0,88066,0,34272,2772,55477,86147,0,1241,0,5089,2
0,0,0x0000000100000024,25,0,48132,0,14688,2176,21541,45774,0,703,18,1432,2
0,0,0x000000010000002c,36,0,4347,0,242,1078,270,1713,0,59,9,849,2
0,0,0x0000000100000017,12,0,298122,0,117504,3913,172895,293919,0,2651,17,16219,2
0,0,0x0000000100000036,48,0,41365,0,20832,2262,17915,16648,0,699,35,19758,2
0,0,0x0000000100000036,48,0,40514,0,20832,1912,17994,17340,0,644,0,19760,2
0,0,0x0000000100000036,48,0,39592,0,20832,1915,18067,17148,0,611,0,19342,2
0,0,0x0000000100000036,48,0,40153,0,20832,1702,17918,17708,0,611,0,19509,2
0,0,0x0000000200000081,52,0,35940,0,19232,2290,12362,29147,0,188,9,1249,2
0,0,0x000000020000006b,52,0,37795,0,19232,1414,11910,32625,0,180,0,905,2
0,0,0x0000000200000041,52,0,38843,0,19232,3250,11990,33108,0,170,0,895,2
0,0,0x000000020000002c,52,0,40479,0,19232,1493,12193,35514,0,170,0,928,2
0,0,0x0000000200000012,52,0,37505,0,19232,1844,11767,32539,0,170,0,861,2
0,0,0x0000000200000130,54,0,37921,0,17808,1265,8657,30016,0,159,9,7269,2
0,0,0x000000020000012d,54,0,41485,0,17808,1781,8854,33017,0,149,0,5793,2
0,0,0x00000002000000db,54,0,35494,0,17808,1012,8693,27650,0,141,0,5835,2
0,28,0x0000000100000007,1,1,10516,1906,0,1480,0,0,6216,145,9,0,2
0,28,0x0000000100000013,8,1,43132,1881,0,40260,0,183,615,6837,44,0,2
0,28,0x000000010000000a,3,1,3904,916,0,1231,0,668,551,77,9,0,2
0,28,0x000000010000000c,5,1,6013,2690,0,1171,0,3044,1372,281,18,0,2
0,28,0x000000010000000c,5,1,4676,2580,0,1020,0,2889,1387,276,0,0,2
0,28,0x000000010000002a,34,1,12673,3792,0,5848,0,5400,110,994,22,0,2
0,28,0x000000010000002a,34,1,17415,4675,0,4382,0,10582,317,1323,0,0,2
0,28,0x000000010000001f,20,1,15935,3441,0,4682,0,9482,356,1005,26,0,2
0,28,0x000000010000002e,38,1,3334,277,0,1437,0,329,632,79,10,0,2
0,28,0x000000010000001f,20,1,27900,5113,0,4577,0,20618,304,1209,0,0,2
0,28,0x0000000100000024,26,1,48924,3832,0,1179,0,2140,3600,230,11,0,2
0,28,0x000000010000002e,38,1,2622,162,0,1010,0,726,642,80,5,0,2
0,28,0x0000000100000022,23,1,55273,3812,0,1910,0,28148,19736,528,11,0,2
0,28,0x0000000100000022,23,1,51590,3790,0,2047,0,28731,15876,511,0,0,2
0,28,0x000000010000002e,38,1,2644,162,0,801,0,1124,599,69,0,0,2
0,28,0x0000000100000021,22,1,20332,864,0,2044,0,11019,5434,400,9,0,2
0,28,0x000000010000002e,38,1,1903,162,0,786,0,742,258,66,0,0,2
0,28,0x000000010000002e,38,1,2607,162,0,768,0,1121,601,65,0,0,2
0,28,0x000000010000002e,38,1,1891,162,0,766,0,750,258,62,0,0,2
0,28,0x000000010000002e,38,1,2674,162,0,761,0,1144,652,62,0,0,2
0,28,0x0000000100000025,27,1,316157,5254,0,310867,0,1854,688,51194,32,0,2
0,28,0x000000010000002e,38,1,1538,153,0,775,0,338,272,63,0,0,2
0,28,0x0000000100000025,27,1,314485,4850,0,310654,0,1887,786,51080,0,0,2
0,28,0x000000010000002e,38,1,1675,153,0,761,0,336,425,62,0,0,2
0,28,0x0000000100000018,13,1,1325233,96430,0,1223507,0,37897,41512,201193,50,0,2
0,28,0x0000000100000036,49,1,39184,19492,0,2324,0,1421,8502,971,15,0,2
0,28,0x0000000100000036,49,1,38720,19470,0,2162,0,2059,7909,834,0,0,2
0,28,0x0000000100000036,49,1,37436,19470,0,2106,0,1898,7629,763,0,0,2
0,28,0x0000000100000036,49,1,38386,19492,0,2119,0,1533,7827,753,0,0,2
0,28,0x0000000100000037,50,1,91787,20566,0,5252,0,27096,48707,2116,23,0,2
0,28,0x0000000100000037,50,1,85234,20510,0,5025,0,25443,46639,2025,0,0,2
0,28,0x0000000100000037,50,1,83638,20472,0,4999,0,23059,46723,2009,0,0,2
0,28,0x0000000100000038,51,1,632227,19528,0,624263,0,5122,3464,105281,29,0,2
0,28,0x00000002000000c7,53,1,22936,8510,0,2358,0,8549,3894,798,17,0,2
0,28,0x00000002000000b1,53,1,22471,8196,0,2163,0,9144,4130,683,0,0,2
0,28,0x00000002000000bb,53,1,21722,8196,0,2224,0,8805,3707,644,0,0,2
0,28,0x0000000100000039,55,1,66767,20579,0,1900,0,44353,945,483,13,0,2
0,28,0x0000000200000138,56,1,19168,7858,0,3499,0,13526,2742,230,18,0,2
0,28,0x0000000200000138,56,1,16015,7801,0,1930,0,11277,2398,209,0,0,2
0,29,0x000000010000000f,7,1,16200,0,0,2908,0,8379,4252,190,21,0,2
0,29,0x0000000100000013,8,1,42462,1968,0,40280,0,197,584,6853,44,0,2
0,29,0x000000010000000a,3,1,3767,892,0,1057,0,713,515,77,9,0,2
0,29,0x000000010000000c,5,1,6220,2696,0,1320,0,2958,1395,279,18,0,2
0,29,0x000000010000000c,5,1,4870,2591,0,1612,0,3089,1357,267,0,0,2
0,29,0x000000010000002a,34,1,12901,3618,0,6060,0,5630,111,974,22,0,2
0,29,0x000000010000002a,34,1,18603,4675,0,4544,0,11742,318,1334,0,0,2
0,29,0x000000010000001f,20,1,17229,3415,0,4645,0,10658,343,993,26,0,2
0,29,0x000000010000002e,38,1,3246,276,0,1430,0,327,631,79,10,0,2
0,29,0x000000010000001f,20,1,28081,5113,0,4434,0,20980,296,1192,0,0,2
0,29,0x000000010000002e,38,1,1667,153,0,802,0,361,293,66,0,0,2
0,29,0x000000010000002e,38,1,2867,153,0,1668,0,324,716,66,0,0,2
0,29,0x0000000100000022,23,1,55237,3795,0,1968,0,26664,21095,527,11,0,2
0,29,0x0000000100000022,23,1,48761,3790,0,2654,0,24398,16927,511,0,0,2
0,29,0x000000010000002e,38,1,2383,162,0,843,0,772,651,66,0,0,2
0,29,0x0000000100000025,27,1,316178,5257,0,311087,0,2332,737,51231,32,0,2
0,29,0x0000000100000025,27,1,314557,4850,0,310748,0,1978,752,51090,0,0,2
