thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000006,2,0,27087,0,23996,1228,8862,21541,0,294,18,517,2
0,0,0x0000000100000018,15,0,62155,0,17136,3335,26153,56995,0,834,27,3971,2
0,0,0x0000000100000018,15,0,49528,0,17136,2333,27205,48101,0,787,0,2878,2
0,0,0x0000000100000015,12,0,318194,0,117504,4504,163454,311938,0,2619,17,18887,2
0,0,0x0000000100000021,24,0,41718,0,20832,2168,17984,16294,0,687,35,19841,2
0,0,0x0000000100000021,24,0,40877,0,20832,2112,17915,18116,0,646,0,19696,2
0,0,0x0000000100000021,24,0,42083,0,20832,1716,17950,20191,0,624,0,19932,2
0,0,0x000000020000010e,30,0,38381,0,17808,1422,8403,28283,0,165,12,7659,2
0,0,0x00000002000000dc,30,0,36194,0,17808,2188,8743,26341,0,155,0,5787,2
0,0,0x00000002000000fd,30,0,44036,0,17808,1597,8529,36969,0,142,0,5903,2
0,0,0x000000020000011a,30,0,35322,0,17808,1057,8741,27140,0,141,0,5726,2
0,0,0x00000002000000f6,30,0,35922,0,17808,1022,8681,28070,0,141,0,5707,2
0,0,0x0000000200000111,30,0,37462,0,17808,1784,8304,30190,0,141,0,5862,2
0,28,0x000000010000000d,7,1,14802,0,0,2104,0,8014,4313,191,23,0,2
0,28,0x000000010000001e,21,1,324796,9454,0,314245,0,1394,1635,52400,24,0,2
0,28,0x000000010000001f,22,1,29267,4451,0,21734,0,0,7630,3306,8,0,2
0,28,0x000000010000001f,22,1,113410,21548,0,22696,0,77581,5068,4397,0,0,2
0,28,0x0000000100000021,25,1,39828,19518,0,2608,0,2094,9594,983,17,0,2
0,28,0x0000000100000021,25,1,38930,19487,0,2196,0,2104,9199,878,0,0,2
0,28,0x0000000100000021,25,1,40191,19548,0,2224,0,1839,9123,767,0,0,2
0,28,0x0000000100000022,26,1,92350,20493,0,5665,0,26714,48642,2054,22,0,2
0,28,0x0000000100000022,26,1,89681,20544,0,5204,0,28950,47338,2017,0,0,2
0,28,0x0000000100000023,27,1,632037,19540,0,624152,0,5521,3664,105240,25,0,2
0,28,0x0000000100000023,27,1,631293,19287,0,624053,0,5227,3807,105192,0,0,2
0,28,0x00000002000000b0,29,1,21557,8329,0,2400,0,7423,3734,839,18,0,2
0,28,0x0000000100000024,31,1,61039,20579,0,1858,0,38270,854,483,13,0,2
0,28,0x0000000200000130,32,1,18410,7801,0,2270,0,13538,2796,215,15,0,2
0,28,0x0000000200000130,32,1,15442,7759,0,2088,0,9665,2073,199,0,0,2
0,29,0x000000010000000d,7,1,14893,0,0,2160,0,8240,4112,189,22,0,2
0,29,0x000000010000001e,21,1,325179,9475,0,314367,0,1379,1613,52436,24,0,2
0,29,0x000000010000001f,22,1,63620,8408,0,28074,0,31850,6946,2846,8,0,2
0,29,0x000000010000001f,22,1,23657,4240,0,16778,0,0,6150,3303,0,0,2
0,29,0x0000000100000022,26,1,93706,20540,0,5442,0,31928,46737,2075,22,0,2
0,29,0x0000000100000022,26,1,88490,20498,0,5720,0,27473,47166,2019,0,0,2
0,29,0x0000000100000023,27,1,632157,19541,0,624192,0,4489,4126,105235,25,0,2
0,29,0x0000000100000023,27,1,631486,19287,0,624241,0,5646,3822,105184,0,0,2
0,29,0x00000002000000a0,29,1,21221,8381,0,2413,0,7309,3571,816,17,0,2
0,29,0x0000000100000024,31,1,62439,20563,0,2220,0,39680,843,482,12,0,2
0,29,0x0000000200000130,32,1,18233,7806,0,2191,0,13809,2724,223,15,0,2
0,29,0x0000000200000130,32,1,15737,7752,0,1994,0,9197,1959,207,0,0,2
0,4,0x0000000100000006,2,0,27096,0,23996,1214,8965,21698,0,294,18,478,2
0,4,0x0000000100000018,15,0,63823,0,17136,3317,25768,58567,0,834,27,3521,2
0,4,0x0000000100000018,15,0,50559,0,17136,2418,26762,48922,0,787,0,2850,2
0,4,0x0000000100000015,12,0,326955,0,117504,4768,169897,321677,0,2625,17,17124,2
0,4,0x0000000100000021,24,0,40895,0,20832,2097,17982,17121,0,695,35,19581,2
0,4,0x0000000100000021,24,0,42217,0,20832,1907,17913,20084,0,647,0,19791,2
0,4,0x0000000100000021,24,0,43683,0,20832,1747,17884,21455,0,632,0,19867,2
0,4,0x0000000100000021,24,0,41100,0,20832,1893,17884,18718,0,613,0,19366,2
0,4,0x0000000200000036,28,0,35832,0,19232,1500,12383,28766,0,192,8,1445,2
0,4,0x0000000200000020,28,0,35941,0,19232,2941,12402,29941,0,178,0,901,2
0,4,0x0000000200000018,28,0,44345,0,19232,1649,11949,39152,0,170,0,930,2
0,4,0x0000000200000005,28,0,35079,0,19232,1660,12102,29602,0,170,0,907,2
0,4,0x00000002000000e7,30,0,39049,0,17808,1195,8649,30182,0,165,11,7743,2
0,4,0x0000000200000112,30,0,36343,0,17808,1255,8494,29427,0,150,0,5771,2
0,36,0x000000010000000d,7,1,14250,0,0,1798,0,8325,3724,182,23,0,2
0,36,0x0000000100000011,8,1,47842,4287,0,41724,0,425,527,6829,42,0,2
0,36,0x000000010000000a,5,1,6317,2869,0,1570,0,3283,1584,269,16,0,2
0,36,0x000000010000001f,22,1,32352,4660,0,22449,0,0,10293,3320,8,0,2
0,36,0x000000010000001f,22,1,20354,4240,0,13097,0,0,5544,3273,0,0,2
0,36,0x0000000100000021,25,1,39036,19492,0,2810,0,1827,8931,976,18,0,2
0,36,0x0000000100000021,25,1,40053,19551,0,2443,0,1709,10992,851,0,0,2
0,36,0x0000000100000021,25,1,41756,19526,0,2129,0,1957,8072,782,0,0,2
0,36,0x0000000100000021,25,1,38830,19470,0,2334,0,2402,7651,771,0,0,2
0,36,0x0000000100000022,26,1,96748,20576,0,5363,0,33529,48408,2064,23,0,2
0,36,0x0000000100000022,26,1,92956,20563,0,5141,0,31011,47298,2026,0,0,2
