thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x0000000100000001,0,0,56513,0,38640,2006,24203,47848,0,474,24,1534,2
0,28,0x0000000100000003,2,1,17332,4808,0,4556,0,9875,304,1288,24,0,2
0,28,0x0000000100000003,2,1,16632,4675,0,4655,0,9631,125,1227,0,0,2
0,28,0x0000000100000003,2,1,16629,4675,0,4548,0,9732,113,1163,0,0,2
0,28,0x0000000100000004,3,1,141757,9103,0,117053,0,16468,742,20554,81,0,2
0,28,0x0000000100000007,6,1,2377,174,0,768,0,298,594,82,11,0,2
0,28,0x0000000100000007,6,1,2009,153,0,901,0,335,635,69,0,0,2
0,28,0x0000000100000007,6,1,1864,153,0,741,0,332,660,69,0,0,2
0,28,0x0000000100000007,6,1,1983,153,0,898,0,301,632,62,0,0,2
0,29,0x0000000100000003,2,1,17391,4807,0,4509,0,9936,303,1291,24,0,2
0,29,0x0000000100000003,2,1,16935,4675,0,4715,0,9700,342,1165,0,0,2
0,29,0x0000000100000003,2,1,17640,4675,0,4634,0,10570,284,1152,0,0,2
0,29,0x0000000100000004,3,1,141558,9079,0,116927,0,16367,769,20546,81,0,2
0,29,0x0000000100000007,6,1,2126,235,0,775,0,300,223,82,11,0,2
0,29,0x0000000100000007,6,1,2004,153,0,927,0,337,602,69,0,0,2
0,29,0x0000000100000007,6,1,1521,153,0,751,0,330,310,62,0,0,2
0,29,0x0000000100000007,6,1,2047,153,0,927,0,310,661,62,0,0,2
0,4,0x0000000100000001,0,0,56461,0,38640,1776,24153,47628,0,461,23,1677,2
0,36,0x0000000100000003,2,1,17199,4787,0,4644,0,9906,112,1310,26,0,2
0,36,0x0000000100000003,2,1,17179,4675,0,4857,0,9911,321,1183,0,0,2
0,36,0x0000000100000003,2,1,17909,4675,0,4638,0,10868,303,1162,0,0,2
0,36,0x0000000100000007,6,1,2609,257,0,772,0,347,600,83,10,0,2
0,36,0x0000000100000007,6,1,1544,153,0,772,0,325,290,65,0,0,2
0,36,0x0000000100000007,6,1,1448,153,0,746,0,326,223,62,0,0,2
0,36,0x0000000100000007,6,1,1873,153,0,770,0,351,599,62,0,0,2
0,36,0x0000000100000007,6,1,1911,153,0,745,0,349,664,62,0,0,2
