thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
0,0,0x000000010000000c,7,0,67282,0,17136,2584,25768,64157,0,820,28,2907,2
0,0,0x0000000100000007,2,0,89527,0,34272,3085,54947,86782,0,1298,14,5115,2
0,0,0x0000000100000009,4,0,326310,0,117504,4158,171325,321940,0,2603,17,17094,2
0,28,0x000000010000000d,8,1,68060,5719,0,59270,0,3889,2214,11071,85,0,2
0,28,0x000000010000000a,5,1,1327199,96303,0,1224006,0,38066,42044,201339,50,0,2
0,29,0x000000010000000d,8,1,68132,5792,0,59428,0,3633,2170,10990,83,0,2
0,29,0x000000010000000a,5,1,1327192,96302,0,1224001,0,38982,42570,201344,44,0,2
0,4,0x000000010000000c,7,0,65896,0,17136,2891,25681,62242,0,820,27,3270,2
0,4,0x0000000100000007,2,0,90305,0,34272,3219,55386,87047,0,1304,14,4901,2
0,4,0x0000000100000009,4,0,327234,0,117504,4137,171879,323077,0,2610,17,16920,2
0,36,0x000000010000000a,5,1,1323028,96604,0,1224381,0,31498,43093,201584,59,0,2
0,37,0x000000010000000a,5,1,1327890,96858,0,1224453,0,38035,42849,201546,54,0,2
0,8,0x0000000100000007,2,0,90561,0,34272,3612,55591,86352,0,1288,18,5241,2
0,8,0x0000000100000009,4,0,331784,0,117504,4403,172240,326154,0,2590,17,16984,2
0,12,0x0000000100000007,2,0,91226,0,34272,4028,55619,86889,0,1287,18,3167,2
0,12,0x0000000100000009,4,0,328431,0,117504,4122,172511,323579,0,2590,17,16258,2
0,16,0x0000000100000007,2,0,90601,0,34272,3777,55286,86380,0,1276,18,4248,2
0,16,0x0000000100000009,4,0,326827,0,117504,4300,171180,322650,0,2600,17,16044,2
0,20,0x0000000100000007,2,0,90883,0,34272,3807,55616,86616,0,1276,18,3830,2
0,20,0x0000000100000009,4,0,323148,0,117504,4349,170514,318983,0,2600,17,16400,2
0,24,0x0000000100000007,2,0,90414,0,34272,3701,55529,86513,0,1288,18,4284,2
0,24,0x0000000100000009,4,0,320313,0,117504,4249,170929,316312,0,2600,17,16802,2
1,1,0x000000010000000c,7,0,74548,0,17136,4008,24643,69308,0,825,29,3905,2
1,1,0x0000000100000007,2,0,90430,0,34272,3043,55566,87454,0,1266,14,5065,2
1,1,0x0000000100000009,4,0,321707,0,117504,4628,170016,315968,0,2602,17,16534,2
1,30,0x0000000100000008,3,1,11412,8001,0,2111,0,3338,2684,567,35,0,2
1,30,0x000000010000000a,5,1,1327415,96393,0,1223635,0,36869,42220,200693,41,0,2
1,31,0x0000000100000008,3,1,11462,7862,0,1961,0,3243,2802,516,38,0,2
1,31,0x000000010000000a,5,1,1331105,96293,0,1223639,0,42391,41356,200717,41,0,2
1,5,0x000000010000000c,7,0,75271,0,17136,3505,25036,70334,0,825,29,3028,2
1,5,0x0000000100000007,2,0,90666,0,34272,3190,55214,87509,0,1266,14,5485,2
1,5,0x0000000100000009,4,0,321860,0,117504,4069,172783,315093,0,2597,17,16600,2
1,38,0x000000010000000a,5,1,1331714,96319,0,1223612,0,42908,42401,200717,47,0,2
1,39,0x000000010000000a,5,1,1333422,96446,0,1223911,0,41401,40830,200724,46,0,2
1,9,0x000000010000000c,7,0,76328,0,17136,3767,25082,71292,0,825,29,2884,2
1,9,0x0000000100000007,2,0,89848,0,34272,3211,55475,87025,0,1284,14,3964,2
