thread_id,core_id,task_id,func_id,core_type,pmu_total_cycles,pmu_idc_aic_vec_busy_o,cube_instr_busy,scalar_instr_busy,mte1_instr_busy,mte2_instr_busy,mte3_instr_busy,icache_req,icache_miss,pmu_fix_instr_busy,event_type
1,30,0x0000000100000000,0,1,44971,29787,0,6479,0,40032,19034,1993,23,0,2
1,31,0x0000000100000000,0,1,44922,29858,0,6563,0,39785,19098,1986,23,0,2
1,38,0x0000000100000000,0,1,45069,29526,0,6503,0,40124,19217,2006,25,0,2
1,39,0x0000000100000000,0,1,44908,29668,0,6514,0,38296,19145,2005,24,0,2
1,46,0x0000000100000000,0,1,45005,29572,0,6543,0,39728,19091,2031,23,0,2
1,47,0x0000000100000000,0,1,45162,29447,0,6570,0,37009,19191,2018,23,0,2
1,54,0x0000000100000000,0,1,45484,29608,0,6718,0,37492,19347,2031,23,0,2
1,55,0x0000000100000000,0,1,45905,28857,0,6666,0,35110,19316,2011,23,0,2
1,62,0x0000000100000000,0,1,45510,28936,0,6704,0,38811,19612,1992,22,0,2
1,63,0x0000000100000000,0,1,46385,29524,0,6780,0,32408,20501,1991,22,0,2
1,70,0x0000000100000000,0,1,45904,29474,0,6699,0,31659,19489,2005,23,0,2
1,71,0x0000000100000000,0,1,45220,29358,0,6806,0,38467,19546,2010,24,0,2
1,78,0x0000000100000000,0,1,45954,29015,0,6709,0,35094,20109,2029,22,0,2
1,79,0x0000000100000000,0,1,45906,29109,0,6631,0,37544,20077,2018,24,0,2
2,32,0x0000000100000000,0,1,46314,29472,0,6758,0,35403,19954,1952,24,0,2
2,33,0x0000000100000000,0,1,46572,29962,0,6518,0,33648,20151,1936,24,0,2
