kernel,module,route,mode,device,pass,compare_status,exit_code,max_diff,n_over,n_total,threshold,timing_ms,rtol,atol,fatobj_bytes,has_kernel_sym,has_ctor,nested_elf_offsets,error
comb_sinkhorn,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,0.0,,,,2.7,,,,,,,
hc_post,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
hc_pre_linear,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,,,,,0.388,,,,,,,
hc_pre_rms,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,fail,-1,1000.0,,,,0.55,,,,,,,
hc_pre_seed,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,0.0,,,,0.485,,,,,,,
kv_proj_matmul,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,0.0,,,,0.512,,,,,,,
kv_proj_seed,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,0.0,,,,3.665,,,,,,,
kv_rms_norm_rope,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,npu-run-fail,-1,,,,,,,,,,,,NPU run failed (exit 1)
merge_norm,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
mix_x,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,npu-run-fail,-1,,,,,,,,,,,,NPU run failed (exit 1)
proj_a_mm,attention_swa,vpto[vmi-membar-vfoff],decode,1,True,pass,0,,,,,0.542,,,,,,,
proj_b_act,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,npu-run-fail,-1,,,,,,,,,,,,NPU run failed (exit 1)
proj_b_mm,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,npu-run-fail,-1,,,,,,,,,,,,NPU run failed (exit 1)
q_rope_prepare,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,npu-run-fail,-1,,,,,,,,,,,,NPU run failed (exit 1)
qk_pv_aic,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qk_pv_aiv,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qproj_dequant_rms_nope_rope,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qproj_matmul,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qr_proj_matmul,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qr_proj_seed,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
qr_rms_norm_quant,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
quant,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
rms_norm,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
rope_cs,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
split_pre_post,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
swa_cache_insert_valid_bias,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
swa_gather_kv,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
swa_rope_step,attention_swa,vpto[vmi-membar-vfoff],decode,1,False,lowering-fail,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering f
